seed,load_condition,submission_time_scale,cluster_shape,node_count,cpus_per_node,total_cpus,policy,jobs_completed,average_wait,median_wait,p95_wait,average_turnaround,throughput,cpu_utilization_percent
4,moderate,2,2x16,2,16,32,backfill,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,moderate,2,4x8,4,8,32,fcfs,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,moderate,2,4x8,4,8,32,sjf,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,moderate,2,4x8,4,8,32,backfill,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,heavy,1,1x32,1,32,32,fcfs,200,1.625000,0.000000,7,12.025000,0.662252,75.672599
4,heavy,1,1x32,1,32,32,sjf,200,1.140000,0.000000,5,11.540000,0.662252,75.672599
4,heavy,1,1x32,1,32,32,backfill,200,0.870000,0.000000,4,11.270000,0.662252,75.672599
4,heavy,1,2x16,2,16,32,fcfs,200,2.670000,2.000000,9,13.070000,0.660066,75.422855
4,heavy,1,2x16,2,16,32,sjf,200,1.295000,0.000000,7,11.695000,0.657895,75.174753
4,heavy,1,2x16,2,16,32,backfill,200,1.060000,0.000000,4,11.460000,0.662252,75.672599
4,heavy,1,4x8,4,8,32,fcfs,200,6.160000,6.000000,14,16.560000,0.645161,73.719758
4,heavy,1,4x8,4,8,32,sjf,200,1.980000,0.000000,8,12.380000,0.662252,75.672599
4,heavy,1,4x8,4,8,32,backfill,200,1.660000,0.000000,9,12.060000,0.666667,76.177083
5,light,4,1x32,1,32,32,fcfs,200,0.000000,0.000000,0,10.480000,0.157729,19.129535
5,light,4,1x32,1,32,32,sjf,200,0.000000,0.000000,0,10.480000,0.157729,19.129535
5,light,4,1x32,1,32,32,backfill,200,0.000000,0.000000,0,10.480000,0.157729,19.129535
5,light,4,2x16,2,16,32,fcfs,200,0.000000,0.000000,0,10.480000,0.157729,19.129535
5,light,4,2x16,2,16,32,sjf,200,0.000000,0.000000,0,10.480000,0.157729,19.129535
5,light,4,2x16,2,16,32,backfill,200,0.000000,0.000000,0,10.480000,0.157729,19.129535
5,light,4,4x8,4,8,32,fcfs,200,0.000000,0.000000,0,10.480000,0.157729,19.129535
5,light,4,4x8,4,8,32,sjf,200,0.000000,0.000000,0,10.480000,0.157729,19.129535
5,light,4,4x8,4,8,32,backfill,200,0.000000,0.000000,0,10.480000,0.157729,19.129535
5,moderate,2,1x32,1,32,32,fcfs,200,0.030000,0.000000,0,10.510000,0.313480,38.019201
5,moderate,2,1x32,1,32,32,sjf,200,0.030000,0.000000,0,10.510000,0.313480,38.019201
5,moderate,2,1x32,1,32,32,backfill,200,0.030000,0.000000,0,10.510000,0.313480,38.019201
5,moderate,2,2x16,2,16,32,fcfs,200,0.030000,0.000000,0,10.510000,0.313480,38.019201
5,moderate,2,2x16,2,16,32,sjf,200,0.030000,0.000000,0,10.510000,0.313480,38.019201
5,moderate,2,2x16,2,16,32,backfill,200,0.030000,0.000000,0,10.510000,0.313480,38.019201
5,moderate,2,4x8,4,8,32,fcfs,200,0.080000,0.000000,0,10.560000,0.312989,37.959703
5,moderate,2,4x8,4,8,32,sjf,200,0.070000,0.000000,0,10.550000,0.312989,37.959703
5,moderate,2,4x8,4,8,32,backfill,200,0.060000,0.000000,0,10.540000,0.312989,37.959703
5,heavy,1,1x32,1,32,32,fcfs,200,1.595000,0.000000,8,12.075000,0.595238,72.191220
5,heavy,1,1x32,1,32,32,sjf,200,1.180000,0.000000,6,11.660000,0.581395,70.512355
5,heavy,1,1x32,1,32,32,backfill,200,1.035000,0.000000,7,11.515000,0.595238,72.191220
5,heavy,1,2x16,2,16,32,fcfs,200,1.980000,0.000000,9,12.460000,0.595238,72.191220
5,heavy,1,2x16,2,16,32,sjf,200,1.625000,0.000000,9,12.105000,0.578035,70.104769
5,heavy,1,2x16,2,16,32,backfill,200,1.200000,0.000000,9,11.680000,0.589971,71.552360
5,heavy,1,4x8,4,8,32,fcfs,200,2.925000,1.000000,11,13.405000,0.591716,71.764053
5,heavy,1,4x8,4,8,32,sjf,200,1.880000,0.000000,9,12.360000,0.578035,70.104769
5,heavy,1,4x8,4,8,32,backfill,200,1.660000,0.000000,11,12.140000,0.589971,71.552360
6,light,4,1x32,1,32,32,fcfs,200,0.000000,0.000000,0,10.640000,0.174672,20.919760
6,light,4,1x32,1,32,32,sjf,200,0.000000,0.000000,0,10.640000,0.174672,20.919760
6,light,4,1x32,1,32,32,backfill,200,0.000000,0.000000,0,10.640000,0.174672,20.919760
6,light,4,2x16,2,16,32,fcfs,200,0.000000,0.000000,0,10.640000,0.174672,20.919760
6,light,4,2x16,2,16,32,sjf,200,0.000000,0.000000,0,10.640000,0.174672,20.919760
6,light,4,2x16,2,16,32,backfill,200,0.000000,0.000000,0,10.640000,0.174672,20.919760
6,light,4,4x8,4,8,32,fcfs,200,0.020000,0.000000,0,10.660000,0.174672,20.919760
